Matriz,TP,Marcos,Politica,TotalAccesos,TotalFallos,TasaFallos
8x8,64,4,FIFO,1488,400,0.268817
8x8,64,4,FIFOModified,1412,324,0.229462
8x8,64,4,LRU,1412,324,0.229462
8x8,64,8,FIFO,1104,16,0.014493
8x8,64,8,FIFOModified,1100,12,0.010909
8x8,64,8,LRU,1100,12,0.010909
8x8,64,16,FIFO,1100,12,0.010909
8x8,64,16,FIFOModified,1100,12,0.010909
8x8,64,16,LRU,1100,12,0.010909
8x8,256,4,FIFO,1091,3,0.002750
8x8,256,4,FIFOModified,1091,3,0.002750
8x8,256,4,LRU,1091,3,0.002750
8x8,256,8,FIFO,1091,3,0.002750
8x8,256,8,FIFOModified,1091,3,0.002750
8x8,256,8,LRU,1091,3,0.002750
8x8,256,16,FIFO,1091,3,0.002750
8x8,256,16,FIFOModified,1091,3,0.002750
8x8,256,16,LRU,1091,3,0.002750
8x8,1024,4,FIFO,1089,1,0.000918
8x8,1024,4,FIFOModified,1089,1,0.000918
8x8,1024,4,LRU,1089,1,0.000918
8x8,1024,8,FIFO,1089,1,0.000918
8x8,1024,8,FIFOModified,1089,1,0.000918
8x8,1024,8,LRU,1089,1,0.000918
8x8,1024,16,FIFO,1089,1,0.000918
8x8,1024,16,FIFOModified,1089,1,0.000918
8x8,1024,16,LRU,1089,1,0.000918
16x16,64,4,FIFO,13824,5376,0.388889
16x16,64,4,FIFOModified,12816,4368,0.340824
16x16,64,4,LRU,12816,4368,0.340824
16x16,64,8,FIFO,13312,4864,0.365385
16x16,64,8,FIFOModified,12816,4368,0.340824
16x16,64,8,LRU,12816,4368,0.340824
16x16,64,16,FIFO,13056,4608,0.352941
16x16,64,16,FIFOModified,12816,4368,0.340824
16x16,64,16,LRU,12816,4368,0.340824
16x16,256,4,FIFO,10048,1600,0.159236
16x16,256,4,FIFOModified,9732,1284,0.131936
16x16,256,4,LRU,9732,1284,0.131936
16x16,256,8,FIFO,8464,16,0.001890
16x16,256,8,FIFOModified,8460,12,0.001418
16x16,256,8,LRU,8460,12,0.001418
16x16,256,16,FIFO,8460,12,0.001418
16x16,256,16,FIFOModified,8460,12,0.001418
16x16,256,16,LRU,8460,12,0.001418
16x16,1024,4,FIFO,8451,3,0.000355
16x16,1024,4,FIFOModified,8451,3,0.000355
16x16,1024,4,LRU,8451,3,0.000355
16x16,1024,8,FIFO,8451,3,0.000355
16x16,1024,8,FIFOModified,8451,3,0.000355
16x16,1024,8,LRU,8451,3,0.000355
16x16,1024,16,FIFO,8451,3,0.000355
16x16,1024,16,FIFOModified,8451,3,0.000355
16x16,1024,16,LRU,8451,3,0.000355
128x128,64,4,FIFO,6848512,2637824,0.385167
128x128,64,4,FIFOModified,6455296,2244608,0.347716
128x128,64,4,LRU,6455296,2244608,0.347716
128x128,64,8,FIFO,6586368,2375680,0.360697
128x128,64,8,FIFOModified,6455296,2244608,0.347716
128x128,64,8,LRU,6455296,2244608,0.347716
128x128,64,16,FIFO,6455296,2244608,0.347716
128x128,64,16,FIFOModified,6455296,2244608,0.347716
128x128,64,16,LRU,6455296,2244608,0.347716
128x128,256,4,FIFO,6848512,2637824,0.385167
128x128,256,4,FIFOModified,6356992,2146304,0.337629
128x128,256,4,LRU,6356992,2146304,0.337629
128x128,256,8,FIFO,6586368,2375680,0.360697
128x128,256,8,FIFOModified,6356992,2146304,0.337629
128x128,256,8,LRU,6356992,2146304,0.337629
128x128,256,16,FIFO,6455296,2244608,0.347716
128x128,256,16,FIFOModified,6356992,2146304,0.337629
128x128,256,16,LRU,6356992,2146304,0.337629
128x128,1024,4,FIFO,5541888,1331200,0.240207
128x128,1024,4,FIFOModified,5275712,1065024,0.201873
128x128,1024,4,LRU,5275712,1065024,0.201873
128x128,1024,8,FIFO,5408768,1198080,0.221507
128x128,1024,8,FIFOModified,5275712,1065024,0.201873
128x128,1024,8,LRU,5275712,1065024,0.201873
128x128,1024,16,FIFO,5342208,1131520,0.211808
128x128,1024,16,FIFOModified,5275712,1065024,0.201873
128x128,1024,16,LRU,5275712,1065024,0.201873
